,level_0,level_1,correlation
0,Q2,Q2,1
1,Q2,Q3,0.6086542208402352
2,Q2,Q4,0.5670879904156131
3,Q2,Q6,0.7196221242464155
4,Q2,Q7,0.5409336749976286
5,Q2,Q46,0.5981265063630736
6,Q2,Q48,0.533748552
7,Q2,Q49,0.5006340055627853
8,Q2,Q50,0.5264152436227795
9,Q2,Q52,0.5112066591843041
10,Q2,Q55,0.5999646671396154
11,Q2,Q56,0.577167757
12,Q2,Q57,0.557925703
13,Q2,Q59,0.5718189475435002
14,Q2,Q60,0.5682493463149001
15,Q2,Q71,0.48818130017408373
16,Q2,Q72,0.5080248015506339
17,Q2,Q85,0.5378643203419486
18,Q2,Q86,0.5003849959582142
19,Q2,Q87,0.5423937495313363
20,Q2,Q88,0.4377790997515343
21,Q2,Q89,0.29083636089070697
22,Q2,row_missing_percent,-0.107655193
23,Q2,Q84_1,-0.233121365
24,Q2,Q84_2,-0.136957274
25,Q2,Q84_3,-0.165647074
26,Q2,Q84_4,-0.018676343
27,Q2,Q84_5,0.3078795446999566
28,Q2,Q84_Y,-0.019797441
29,Q2,DRNO_A,0.020760020174834536
30,Q2,DRNO_B,-0.029825651
31,Q2,DRNO_C,0.035548152
32,Q2,DRNO_D,-0.017467855
33,Q2,DHISP_A,-0.026349197
34,Q2,DHISP_B,0.026349196862650123
35,Q2,DDIS_A,-0.069403552
36,Q2,DDIS_B,0.069403552
37,Q2,DAGEGRP_A,0.004124308
38,Q2,DAGEGRP_B,-0.004124308
39,Q2,DSUPER_A,-0.137964711
40,Q2,DSUPER_B,0.13796471072816407
41,Q2,DFEDTEN_A,0.007253114
42,Q2,DFEDTEN_B,-0.044105537
43,Q2,DFEDTEN_C,0.03872724
44,Q2,DSEX_A,0.002689754
45,Q2,DSEX_B,-0.002689754
46,Q2,DMIL_A,-0.032493981
47,Q2,DMIL_B,0.032493981
48,Q2,DLEAVING,-0.357077877
49,Q3,Q2,0.6086542208402352
50,Q3,Q3,1
51,Q3,Q4,0.5798664577351568
52,Q3,Q6,0.6528215237600984
53,Q3,Q7,0.5743618296398341
54,Q3,Q46,0.4929031798367663
55,Q3,Q48,0.44953035547303805
56,Q3,Q49,0.4338603091686607
57,Q3,Q50,0.4564081952729818
58,Q3,Q52,0.43707189735800744
59,Q3,Q55,0.483486572
60,Q3,Q56,0.46212224072996383
61,Q3,Q57,0.4698943290639293
62,Q3,Q59,0.44643689170969025
63,Q3,Q60,0.47042319494229995
64,Q3,Q71,0.41869849212077564
65,Q3,Q72,0.43983588098297577
66,Q3,Q85,0.6931173735294394
67,Q3,Q86,0.7345747705103718
68,Q3,Q87,0.6234524049067827
69,Q3,Q88,0.5401283090142281
